Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 31.91      0.78     0.78 245524141     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
 25.94      1.41     0.63 245544241     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long)
 21.00      1.92     0.51        1     0.51     2.28  solve()
 14.21      2.26     0.35 78585300     0.00     0.00  int const& std::min<int>(int const&, int const&)
  6.18      2.41     0.15        3     0.05     0.05  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::resize(unsigned long)
  0.41      2.42     0.01     9900     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<int>::__value, void>::__type std::__fill_a<int*, int>(int*, int*, int const&)
  0.21      2.43     0.01     9900     0.00     0.00  void std::fill<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&)
  0.21      2.43     0.01      300     0.00     0.00  std::vector<int, std::allocator<int> >::resize(unsigned long, int const&)
  0.00      2.43     0.00    21000     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      2.43     0.00    20400     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      2.43     0.00    19800     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, true>::_S_base(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
  0.00      2.43     0.00    19800     0.00     0.00  std::_Niter_base<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >::iterator_type std::__niter_base<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
  0.00      2.43     0.00    10200     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  0.00      2.43     0.00    10200     0.00     0.00  std::vector<int, std::allocator<int> >::begin()
  0.00      2.43     0.00     8910     0.00     0.00  isLess(int, int, int, int)
  0.00      2.43     0.00     2100     0.00     0.00  std::_Iter_base<int*, false>::_S_base(int*)
  0.00      2.43     0.00     2100     0.00     0.00  std::_Niter_base<int*>::iterator_type std::__niter_base<int*>(int*)
  0.00      2.43     0.00     1800     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      2.43     0.00     1500     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      2.43     0.00     1200     0.00     0.00  std::move_iterator<int*>::base() const
  0.00      2.43     0.00     1200     0.00     0.00  std::_Iter_base<std::move_iterator<int*>, true>::_S_base(std::move_iterator<int*>)
  0.00      2.43     0.00     1200     0.00     0.00  std::move_iterator<int*>::move_iterator(int*)
  0.00      2.43     0.00     1200     0.00     0.00  std::_Miter_base<std::move_iterator<int*> >::iterator_type std::__miter_base<std::move_iterator<int*> >(std::move_iterator<int*>)
  0.00      2.43     0.00     1200     0.00     0.00  std::move_iterator<int*> std::__make_move_if_noexcept_iterator<int*, std::move_iterator<int*> >(int*)
  0.00      2.43     0.00      900     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00      2.43     0.00      891     0.00     0.00  std::remove_reference<std::vector<int, std::allocator<int> >*&>::type&& std::move<std::vector<int, std::allocator<int> >*&>(std::vector<int, std::allocator<int> >*&)
